level,position_type,contest,vote_for,share_of_27513_voters,candidate,party,incumbent,home,ai_color,ai_label,ai_confidence,ai_basis,ai_why,ai_quote,bio,record,links,sources
Local courts and DA,District Court Judge,"District Court Judge, District 10D Seat 1",1,70.1%,Margaret Eagles,Democratic,yes,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,"Wake district court judge (inferred incumbent: ""Keep Judge Eagles"" campaign).",,INDY: Wake judiciary races: https://indyweek.com/news/whos-running-wake-county-da-sheriff-and-judiciary/,"INDY: Wake DA, sheriff and judiciary: https://indyweek.com/news/whos-running-wake-county-da-sheriff-and-judiciary/"
Local courts and DA,District Court Judge,"District Court Judge, District 10D Seat 2",1,70.1%,Amalia Mercedes Restucha,Democratic,no,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Assistant attorney general at the NC Department of Justice; formerly a staff attorney at Disability Rights NC and in private practice.,,Ballotpedia: https://ballotpedia.org/Amalia_Mercedes_Restucha | INDY: competitive district court races: https://indyweek.com/news/heres-whos-running-in-wake-countys-competitive-district-court-elections/,Ballotpedia: https://ballotpedia.org/Amalia_Mercedes_Restucha
Local courts and DA,District Court Judge,"District Court Judge, District 10D Seat 2",1,70.1%,J. Brian Ratledge,Republican,yes,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,District court judge since 2019; Wake's lead family-court judge since 2021.,,Campaign site: https://www.ratledgeforjudge.com/ | INDY candidate page: https://indyweek.com/news/elections/j-brian-ratledge/ | Ballotpedia: https://ballotpedia.org/J._Brian_Ratledge,Ballotpedia: https://ballotpedia.org/J._Brian_Ratledge
Local courts and DA,District Court Judge,"District Court Judge, District 10D Seat 3",1,70.1%,Kevin Boxberger,Democratic,yes,Raleigh,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Appointed district court judge by Gov. Cooper in 2024; formerly a regional defender with NC Indigent Defense Services.,,Campaign site: https://www.boxbergerforjudge.com/,INDY: Wake judiciary races: https://indyweek.com/news/whos-running-wake-county-da-sheriff-and-judiciary/
Local courts and DA,District Court Judge,"District Court Judge, District 10F Seat 1",1,29.9%,Chris Brooks,Democratic,yes,Apex,gray,No position found,high,na,Judicial race; no AI or data-center position expected or found.,,Appointed March 2025; former special deputy attorney general advising the NC Division of Motor Vehicles.,,INDY: Wake judiciary races: https://indyweek.com/news/whos-running-wake-county-da-sheriff-and-judiciary/,INDY: Wake judiciary races: https://indyweek.com/news/whos-running-wake-county-da-sheriff-and-judiciary/
School board,Board of Education,"Wake County Board of Education, District 9",1,100%,Tyler Swanson,Nonpartisan (Democrat (per N&O)),yes,Cary (27513),green,"Pro, with conditions",low,stated,On AI in schools: treats AI as a useful learning tool with a clear limit (it does not replace classroom teaching). Not about data centers.,"AI is a tool, but it does not replace teaching and learning that should take place in the classroom.",School board member since 2022 and board chair since Dec 2025 (youngest in Wake history); former Wake special-education teacher; campaign strategist.,"Board is adopting its first AI policy (no AI detectors, students must disclose AI use, AI literacy, staff training, data-privacy review of AI tools).",Campaign site: https://www.swansonforwake.com/about | Ballotpedia: https://ballotpedia.org/Tyler_Swanson,"N&O via AOL: Wake AI policy falls short, board says: https://www.aol.com/news/wake-developing-policy-ai-school-211300245.html | WRAL: what is in the Wake AI policy draft: https://www.wral.com/news/education/whats-in-wake-schools-new-ai-policy-draft-june-2026/"
School board,Board of Education,"Wake County Board of Education, District 9",1,100%,Brian Olson,Nonpartisan (Unaffiliated approach (self-described independent)),no,Cary (27513),gray,No position found,low,none,No AI position found.,,"Military veteran, small-business owner and wheelchair user; vice president of the West Cary Middle School PTA; former community-college board member in California.","Promises a ""pragmatic, independent approach"".",Campaign site: https://olsonforwakecountykids.com/,INDY: who is running for school board: https://indyweek.com/news/whos-running-for-wake-county-school-board-in-2026/
School board,Board of Education,"Wake County Board of Education, District 9",1,100%,Cheryl Alexis,Nonpartisan (Promoted by the Wake County GOP),no,Apex,gray,No position found,low,none,No AI position found.,,Human-resources consultant with past work in career counseling and law; Harvard graduate per the Wake GOP.,No campaign website found; did not respond to media requests.,Wake GOP announcement (Facebook): https://www.facebook.com/WakeGOP/posts/cheryl-alexis-for-wake-county-schools-is-running-for-wake-county-school-board-di/1545523897608907/,INDY: who is running for school board: https://indyweek.com/news/whos-running-for-wake-county-school-board-in-2026/
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Samantha Krop,Nonpartisan,no,Raleigh,orange,"Opposed, no nuance",med,stated,"Publicly supports moratoriums and opposing large data centers on water grounds; no terms under which one would be acceptable. Statements were made as Riverkeeper, not as a candidate.",We are involved in community-led efforts to oppose the proliferation of large-scale data centers such as the one proposed in Kingsboro.,Neuse Riverkeeper and Director of Advocacy at Sound Rivers; environmental educator.,"Spoke for Durham's data-center moratorium; her organization works to ""oppose the proliferation of large-scale data centers"".",Campaign site: https://www.krop4wake.com/ | Sound Rivers bio: https://soundrivers.org/personnel/samantha-krop/,Sound Rivers: Durham moratorium vote: https://soundrivers.org/unanimous-vote-for-durham-data-center-moratorium/ | Reflector: is new tech harmful or helpful?: https://www.reflector.com/enterprise/across_carolina/waterways-need-protection-more-than-ever-is-new-tech-harmful-or-helpful/article_4f106f2a-305a-5bc5-b3d2-bc138a844088.html
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Beth Pugh Farrell,Nonpartisan,yes,Cary (27513),gray,No position found,low,none,No AI or data-center statement found.,,Current Wake Soil and Water supervisor seeking re-election.,,Campaign Facebook: https://www.facebook.com/p/Beth-Pugh-Farrell-Wake-Soil-Water-Conservation-District-Supervisor-100082328534290/,Wake SWCD staff and board: https://www.wake.gov/departments-government/soil-and-water-conservation-district/about-wake-swcd/staff-and-board
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Jim White,Nonpartisan,no,Apex,gray,No position found,low,none,No AI or data-center statement found.,,Candidate for supervisor.,,Campaign site: https://www.jimwhite4wake.com/,Campaign site: https://www.jimwhite4wake.com/
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Brian K. Lewis,Nonpartisan,no,Raleigh,gray,No position found,low,none,No AI or data-center statement found.,,Candidate for supervisor.,,Campaign site: https://lewisfornc.org/ | Ballotpedia: https://ballotpedia.org/Brian_Lewis_(North_Carolina),Ballotpedia: https://ballotpedia.org/Brian_Lewis_(North_Carolina)
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Terence Thomas,Nonpartisan,no,Raleigh,gray,No position found,low,none,No AI or data-center statement found.,,Candidate for supervisor; little public information found.,,VOTE411: race page: https://onyourballot.vote411.org/m/race-detail.do?id=20906503,VOTE411: race page: https://onyourballot.vote411.org/m/race-detail.do?id=20906503
Soil and Water,Soil and Water Supervisor,Wake Soil and Water Conservation District Supervisor (vote for 2),2,100%,Cece Grant,Nonpartisan,no,Raleigh,gray,No position found,low,none,No AI or data-center statement found.,,Candidate for supervisor; little public information found.,,VOTE411: race page: https://onyourballot.vote411.org/m/race-detail.do?id=20906503,VOTE411: race page: https://onyourballot.vote411.org/m/race-detail.do?id=20906503
